method,N,seed,estimate
missing_half,64,172,0.036075237212808073
uniform,64,173,0.39627550625994334
importance,64,173,0.35702269871354381
missing_half,64,173,0.049534438282492918
uniform,64,174,0.33137416801384428
importance,64,174,0.32750871835039663
missing_half,64,174,0.041421771001730535
uniform,64,175,0.34862350241134898
importance,64,175,0.32931625390898611
missing_half,64,175,0.043577937801418623
uniform,64,176,0.38310645682738498
importance,64,176,0.34114324629550502
missing_half,64,176,0.047888307103423122
uniform,64,177,0.33445855042258077
importance,64,177,0.33818368313915742
missing_half,64,177,0.041807318802822596
uniform,64,178,0.31267975066579301
importance,64,178,0.31842644846413187
missing_half,64,178,0.039084968833224126
uniform,64,179,0.39689530603533307
importance,64,179,0.35598168862049173
missing_half,64,179,0.049611913254416634
uniform,64,180,0.31667883830207594
importance,64,180,0.32781468163801952
missing_half,64,180,0.039584854787759492
uniform,64,181,0.31316533029192517
importance,64,181,0.32403310811206215
missing_half,64,181,0.039145666286490646
uniform,64,182,0.36137485304979128
importance,64,182,0.34564032866854588
missing_half,64,182,0.04517185663122391
uniform,64,183,0.30843009599855559
importance,64,183,0.3208918693028518
missing_half,64,183,0.038553761999819448
uniform,64,184,0.32945974973609632
importance,64,184,0.33792233056113941
missing_half,64,184,0.04118246871701204
uniform,64,185,0.37054265352678034
importance,64,185,0.34292703194001978
missing_half,64,185,0.046317831690847543
uniform,64,186,0.3472258547251742
importance,64,186,0.34256091671960365
missing_half,64,186,0.043403231840646775
uniform,64,187,0.34653951003017652
importance,64,187,0.34484133648226267
missing_half,64,187,0.043317438753772065
uniform,64,188,0.32744974274025229
importance,64,188,0.33076432019876634
missing_half,64,188,0.040931217842531536
uniform,64,189,0.33859275076076178
importance,64,189,0.34133571880197555
missing_half,64,189,0.042324093845095223
uniform,64,190,0.39590108581178002
importance,64,190,0.36321277717299055
missing_half,64,190,0.049487635726472502
uniform,64,191,0.29241489290402634
importance,64,191,0.32068610433471245
missing_half,64,191,0.036551861613003292
uniform,64,192,0.34131389313030108
importance,64,192,0.33094896585252748
missing_half,64,192,0.042664236641287635
uniform,64,193,0.35532612421087589
importance,64,193,0.34342429484283082
missing_half,64,193,0.044415765526359487
uniform,64,194,0.34629295221468448
importance,64,194,0.34898849278660415
missing_half,64,194,0.04328661902683556
